#;Nome;Fuori lista;Sq.;Under;R.;R.MANTRA;PGv;MV;FM;FVM/1000;QUOT.;FantaSquadra;Costo
2764;Martinez L.;;Inter;28;A;Pc;0;0;0;380;34;;
2097;Kean;;Fiorentina;25;A;Pc;0;0;0;375;33;;
4871;Thuram;;Inter;28;A;Pc;0;0;0;310;29;;
5544;David;;Juventus;25;A;Pc;0;0;0;278;27;;
7008;Gimenez;;Milan;24;A;Pc;0;0;0;254;25;;
309;Dybala;;Roma;32;A;A;0;0;0;247;26;;
4510;Leao;;Milan;26;A;A;0;0;0;242;24;;
6434;Yildiz;;Juventus;20;A;A;0;0;0;235;24;;
2167;Orsolini;;Bologna;28;C;W/A;0;0;0;220;30;;
2423;Pulisic;;Milan;27;C;T/A;0;0;0;216;28;;
632;Zaccagni;;Lazio;30;C;W/A;0;0;0;205;26;;
4777;McTominay;;Napoli;29;C;C/T;0;0;0;201;26;;
2531;Lukaku;;Napoli;32;A;Pc;0;0;0;200;31;;
5800;Gudmundsson A.;;Fiorentina;28;C;T/A;0;0;0;177;24;;
5995;De Ketelaere;;Atalanta;24;A;A;0;0;0;170;22;;
6226;Castellanos;;Lazio;27;A;Pc;0;0;0;155;21;;
6675;Dovbyk;;Roma;28;A;Pc;0;0;0;152;21;;
2194;Calhanoglu;;Inter;31;C;M/C;0;0;0;152;23;;
2517;De Bruyne;;Napoli;34;C;T;0;0;0;147;23;;
531;Berardi;;Sassuolo;31;A;A;0;0;0;145;21;;
5672;Dia;;Lazio;29;A;Pc;0;0;0;141;20;;
785;Immobile;;Bologna;35;A;Pc;0;0;0;140;19;;
6435;Krstovic;;Lecce;25;A;Pc;0;0;0;138;20;;
6365;Ferguson E.;;Roma;21;A;Pc;0;0;0;137;19;;
6572;Castro S.;;Bologna;21;A;Pc;0;0;0;128;19;;
5734;Soulè;;Roma;22;A;A;0;0;0;122;20;;
6215;Lucca;;Napoli;25;A;Pc;0;0;0;121;15;;
6875;Paz N.;;Como;21;C;T/A;0;0;0;119;20;;
2137;Scamacca;;Atalanta;26;A;Pc;0;0;0;114;19;;
4730;Lookman;;Atalanta;28;A;A;0;0;0;100;29;;
5513;Dumfries;;Inter;29;D;E;0;0;0;100;20;;
2841;Vlahovic;;Juventus;25;A;Pc;0;0;0;99;24;;
254;Dimarco;;Inter;28;D;E;0;0;0;96;19;;
6967;Diao;;Como;20;A;W/A;0;0;0;95;17;;
7120;Lang;;Napoli;26;A;A;0;0;0;94;19;;
572;Meret;;Napoli;28;P;Por;0;0;0;92;16;;
6884;Conceicao;;Juventus;23;C;W/A;0;0;0;91;18;;
4359;Piccoli;;Cagliari;24;A;Pc;0;0;0;90;17;;
2428;Sommer;;Inter;37;P;Por;0;0;0;90;16;;
2160;Gosens;;Fiorentina;31;D;E;0;0;0;86;18;;
313;Morata;;Como;33;A;Pc;0;0;0;84;18;;
5876;Di Gregorio;;Juventus;28;P;Por;0;0;0;83;16;;
5841;Svilar;;Roma;26;P;Por;0;0;0;82;15;;
4312;Maignan;;Milan;30;P;Por;0;0;0;81;16;;
608;Zapata D.;;Torino;34;A;Pc;0;0;0;80;20;;
2765;Odgaard;;Bologna;26;C;T/A;0;0;0;78;16;;
2120;Bastoni;;Inter;26;D;Dc;0;0;0;78;16;;
2038;Pinamonti;;Sassuolo;26;A;Pc;0;0;0;73;16;;
647;Dzeko;;Fiorentina;39;A;Pc;0;0;0;71;15;;
4431;Carnesecchi;;Atalanta;25;P;Por;0;0;0;71;14;;
2670;Bailey;;Roma;28;C;W/A;0;0;0;70;16;;
4433;Zortea;;Cagliari;26;D;E;0;0;0;68;16;;
7023;Pellegrino M.;;Parma;24;A;Pc;0;0;0;67;13;;
2369;Thauvin;*;Udinese;32;A;A;0;0;0;64;16;;
5562;Thuram K.;;Juventus;24;C;M/C;0;0;0;63;16;;
5520;Cambiaso;;Juventus;25;D;E;0;0;0;63;15;;
4463;Esposito Se.;;Cagliari;23;A;A;0;0;0;62;7;;
2521;De Gea;;Fiorentina;35;P;Por;0;0;0;62;14;;
5564;Ndoye;*;Bologna;25;C;W;0;0;0;60;19;;
4772;Angelino;;Roma;28;D;E;0;0;0;59;15;;
6646;Adams C.;;Torino;29;A;A;0;0;0;58;14;;
5792;Ederson D.S.;;Atalanta;26;C;M/C;0;0;0;58;15;;
1870;Barella;;Inter;28;C;C;0;0;0;58;14;;
2816;Di Lorenzo;;Napoli;32;D;Dd/E;0;0;0;57;14;;
536;Politano;;Napoli;32;C;W;0;0;0;55;15;;
4220;Zambo Anguissa;;Napoli;30;C;M/C;0;0;0;54;15;;
2814;Provedel;;Lazio;31;P;Por;0;0;0;54;12;;
7128;Kuhn;;Como;25;A;W/A;0;0;0;53;14;;
4887;Bellanova;;Atalanta;25;D;E;0;0;0;52;13;;
7181;Wesley;;Roma;22;D;E;0;0;0;51;14;;
6060;Laurientè;;Sassuolo;27;A;A;0;0;0;50;15;;
554;Zappacosta;;Atalanta;33;D;E;0;0;0;50;13;;
2848;Frattesi;;Inter;26;C;C/T;0;0;0;49;14;;
5620;Tavares N.;;Lazio;25;D;Ds/E;0;0;0;49;12;;
133;Skorupski;;Bologna;34;P;Por;0;0;0;49;10;;
6398;Isaksen;;Lazio;24;C;W/A;0;0;0;48;14;;
5687;Vlasic;;Torino;28;C;T;0;0;0;46;15;;
2489;Pedro;;Lazio;38;A;A;0;0;0;45;13;;
5885;Dodò;;Fiorentina;27;D;E;0;0;0;44;11;;
2788;Bremer;;Juventus;28;D;Dc;0;0;0;44;13;;
2724;Buongiorno;;Napoli;26;D;Dc;0;0;0;44;13;;
5318;Tramoni M.;;Pisa;25;C;W/T;0;0;0;42;12;;
6831;Neres;;Napoli;28;C;W/A;0;0;0;41;13;;
5589;Konè M.;;Roma;24;C;M/C;0;0;0;40;14;;
2606;Modric;;Milan;40;C;C;0;0;0;40;12;;
6046;Hien;;Atalanta;26;D;Dc;0;0;0;40;11;;
4923;Colombo;;Genoa;23;A;Pc;0;0;0;39;12;;
7203;Jashari;;Milan;23;C;C;0;0;0;39;13;;
5685;Koopmeiners;;Juventus;27;C;C/T;0;0;0;39;14;;
6722;Gronbaek;;Genoa;24;C;W/T;0;0;0;37;12;;
4686;Fofana Y.;;Milan;26;C;M/C;0;0;0;37;11;;
5273;Estupinan;;Milan;27;D;Ds/E;0;0;0;37;11;;
7133;Vandeputte;;Cremonese;29;C;W/T;0;0;0;36;12;;
6010;Fazzini;;Fiorentina;22;C;C/T;0;0;0;36;11;;
6164;Vitinha O.;;Genoa;25;A;Pc;0;0;0;35;12;;
5119;Samardzic;;Atalanta;23;C;T;0;0;0;35;12;;
4892;Saelemaekers;;Milan;26;C;E/W;0;0;0;35;12;;
4179;Gonzalez N.;;Juventus;27;A;W/A;0;0;0;34;12;;
5559;Da Cunha;;Como;24;C;C/W/T;0;0;0;33;12;;
5319;Sohm;;Fiorentina;24;C;C;0;0;0;33;12;;
2529;Mkhitaryan;;Inter;36;C;C/T;0;0;0;33;9;;
22;De Roon;;Atalanta;34;C;M/C;0;0;0;33;12;;
6666;Bernabè;;Parma;24;C;C;0;0;0;32;11;;
6629;Dele-Bashiru;;Lazio;24;C;C/T;0;0;0;32;11;;
827;Locatelli;;Juventus;27;C;M/C;0;0;0;32;12;;
4409;Rrahmani;;Napoli;31;D;Dc;0;0;0;32;11;;
2593;Martin;;Genoa;28;D;Ds/E;0;0;0;32;10;;
6966;Butez;;Como;30;P;Por;0;0;0;32;10;;
5877;Carlos Augusto;;Inter;26;D;B/Ds/E;0;0;0;31;10;;
5888;Casadei;;Torino;22;C;C/T;0;0;0;30;12;;
449;Vazquez;;Cremonese;36;C;T/A;0;0;0;30;10;;
6956;Solet;;Udinese;25;D;Dc;0;0;0;30;11;;
2296;Mancini;;Roma;29;D;Dc;0;0;0;30;11;;
7179;Israel;;Torino;25;P;Por;0;0;0;30;9;;
2061;Simeone;;Torino;30;A;Pc;0;0;0;29;8;;
6106;Carboni V.;;Genoa;20;C;T/A;0;0;0;29;11;;
5637;Davis K.;;Udinese;27;A;Pc;0;0;0;28;12;;
5336;Nzola;;Pisa;29;A;Pc;0;0;0;28;12;;
7126;Baturina;;Como;22;C;T;0;0;0;28;9;;
2077;Pasalic;;Atalanta;30;C;C/T;0;0;0;28;9;;
1933;Mandragora;;Fiorentina;28;C;M/C;0;0;0;28;14;;
188;Leali;;Genoa;32;P;Por;0;0;0;28;8;;
6669;Bonny;;Inter;22;A;Pc;0;0;0;27;5;;
6252;Folorunsho;;Cagliari;27;C;C/T;0;0;0;27;9;;
5453;Ricci S.;;Milan;24;C;M/C;0;0;0;27;10;;
788;Freuler;;Bologna;33;C;M/C;0;0;0;27;11;;
5862;Valeri;;Parma;27;D;Ds/E;0;0;0;27;10;;
4436;Cambiaghi;;Bologna;25;A;A;0;0;0;26;11;;
6271;El Aynaoui;;Roma;24;C;M/C;0;0;0;26;9;;
4486;Strefezza;*;Como;28;C;W;0;0;0;26;14;;
530;Pellegrini Lo.;;Roma;29;C;C/T;0;0;0;26;11;;
184;Bernardeschi;;Bologna;31;C;W/A;0;0;0;26;9;;
5840;Olivera;;Napoli;28;D;Ds/E;0;0;0;26;10;;
4317;N'Dicka;;Roma;26;D;Dc;0;0;0;26;10;;
513;Acerbi;;Inter;37;D;Dc;0;0;0;26;9;;
4427;Malinovskyi;;Genoa;32;C;C/T;0;0;0;25;8;;
6202;Beukema;;Napoli;27;D;Dc;0;0;0;25;10;;
4751;Tomori;;Milan;28;D;Dc;0;0;0;25;8;;
7183;Aboukhlal;;Torino;25;A;A;0;0;0;24;9;;
6895;Dominguez B.;;Bologna;22;A;W/A;0;0;0;24;9;;
6159;Sarr A.;;Verona;24;A;A;0;0;0;24;8;;
7070;Sucic P.;;Inter;22;C;C;0;0;0;24;9;;
5998;Zerbin;;Cremonese;26;C;E/W;0;0;0;24;3;;
5872;Helgason;;Lecce;25;C;C/T;0;0;0;24;8;;
5850;Lovric;;Udinese;27;C;C;0;0;0;24;9;;
5844;Thorstvedt;;Sassuolo;26;C;C/T;0;0;0;24;8;;
5036;Caqueret;;Como;25;C;C/T;0;0;0;24;12;;
4896;Maldini;;Atalanta;24;C;T/A;0;0;0;24;9;;
4465;Fagioli;;Fiorentina;24;C;C;0;0;0;24;8;;
5526;Scalvini;;Atalanta;22;D;Dc;0;0;0;24;8;;
4976;Kalulu;;Juventus;25;D;Dd/Dc;0;0;0;24;9;;
4734;Miranda J.;;Bologna;25;D;Ds/E;0;0;0;24;9;;
6145;Ngonge;;Torino;25;A;A;0;0;0;23;9;;
7132;Collocolo;;Cremonese;26;C;M/C;0;0;0;23;8;;
6889;Anjorin;;Torino;24;C;C/T;0;0;0;23;10;;
5858;Ferguson;;Bologna;26;C;C/T;0;0;0;23;11;;
4947;Brescianini;;Atalanta;25;C;C/T;0;0;0;23;8;;
4287;Lobotka;;Napoli;31;C;M/C;0;0;0;23;9;;
4186;Guendouzi;;Lazio;26;C;C;0;0;0;23;11;;
779;Cristante;;Roma;30;C;M/C;0;0;0;23;9;;
4177;Pavard;;Inter;29;D;Dd/Dc;0;0;0;23;8;;
2188;Marusic;;Lazio;33;D;Dd/Ds/E;0;0;0;23;8;;
252;Biraghi;;Torino;33;D;Ds/E;0;0;0;23;8;;
6519;Camarda;;Lecce;17;A;Pc;0;0;0;22;12;;
5512;De Luca;;Cremonese;27;A;Pc;0;0;0;22;8;;
5297;Luvumbo;;Cagliari;23;A;A;0;0;0;22;12;;
6684;Ekkelenkamp;;Udinese;25;C;C/T;0;0;0;22;10;;
5298;Pobega;;Bologna;26;C;M/C;0;0;0;22;8;;
4459;Rovella;;Lazio;24;C;M/C;0;0;0;22;8;;
2839;Sottil;;Lecce;26;C;W/A;0;0;0;22;11;;
5578;Kossounou;;Atalanta;24;D;Dd/Dc;0;0;0;22;9;;
460;Romagnoli;;Lazio;30;D;Dc;0;0;0;22;8;;
6653;Bravo;;Udinese;20;A;A;0;0;0;21;6;;
5471;Djuric;;Parma;35;A;Pc;0;0;0;21;9;;
7135;Stanciu;;Genoa;32;C;C/T;0;0;0;21;8;;
5791;Frendrup;;Genoa;24;C;M/C;0;0;0;21;9;;
6664;Delprato;;Parma;26;D;B/Dd/E;0;0;0;21;8;;
6217;Bisseck;;Inter;25;D;Dc;0;0;0;21;9;;
6042;Lucumì;;Bologna;27;D;Dc;0;0;0;21;8;;
5678;Holm;;Bologna;25;D;Dd/E;0;0;0;21;8;;
5427;Gutierrez;;Napoli;24;D;Ds/E;0;0;0;21;8;;
5022;Pavlovic;;Milan;24;D;Dc;0;0;0;21;7;;
4210;Mina;;Cagliari;31;D;Dc;0;0;0;21;7;;
7017;Douvikas;;Como;26;A;Pc;0;0;0;20;8;;
5918;Sulemana K.;;Atalanta;23;A;A;0;0;0;20;9;;
6549;Pierotti;;Lecce;24;C;W/A;0;0;0;20;10;;
5833;Gila;;Lazio;25;D;Dc;0;0;0;20;9;;
5514;Vasquez;;Genoa;27;D;Ds/Dc;0;0;0;20;9;;
322;De Vrij;;Inter;33;D;Dc;0;0;0;20;9;;
7127;Addai;;Como;20;A;W/A;0;0;0;19;7;;
6634;Tete Morente;;Lecce;29;C;W;0;0;0;19;9;;
6151;Perrone;;Como;22;C;M/C;0;0;0;19;8;;
795;El Shaarawy;;Roma;33;C;W;0;0;0;19;8;;
6632;Gaspar K.;;Lecce;28;D;Dc;0;0;0;19;8;;
5555;Kamara H.;;Udinese;31;D;Ds/E;0;0;0;19;7;;
4385;Lazaro;;Torino;29;D;Dd/E;0;0;0;19;7;;
5992;Bondo;;Cremonese;22;C;M/C;0;0;0;18;3;;
4973;McKennie;;Juventus;27;C;M/C;0;0;0;18;10;;
4970;Messias;;Genoa;34;C;C/W;0;0;0;18;8;;
4423;Hernani;;Parma;31;C;C;0;0;0;18;7;;
7175;Joao Mario;;Juventus;25;D;E;0;0;0;18;8;;
7068;Vitik;;Bologna;22;D;Dc;0;0;0;18;8;;
6531;Jimenez A.;;Milan;20;D;Dd/Ds/E;0;0;0;18;5;;
5835;Baschirotto;;Cremonese;29;D;Dc;0;0;0;18;8;;
4657;Celik;;Roma;28;D;B/Dd/E;0;0;0;18;7;;
393;Luperto;;Cagliari;29;D;Dc;0;0;0;18;7;;
4360;Caprile;;Cagliari;24;P;Por;0;0;0;18;7;;
2155;Cutrone;;Como;27;A;Pc;0;0;0;17;10;;
6206;Fabbian;;Bologna;22;C;C/T;0;0;0;17;10;;
6672;Idzes;;Sassuolo;25;D;Dc;0;0;0;17;7;;
6495;Comuzzo;;Fiorentina;20;D;Dc;0;0;0;17;7;;
6480;Tchatchoua;*;Verona;24;D;Dd/E;0;0;0;17;8;;
5851;Doig;;Sassuolo;23;D;Ds/E;0;0;0;17;6;;
5739;De Winter;;Milan;23;D;Dd/Dc;0;0;0;17;8;;
5010;Ismajli;;Torino;29;D;Dc;0;0;0;17;8;;
2640;Kolasinac;;Atalanta;32;D;B/Ds/E;0;0;0;17;7;;
6462;Okoye;;Udinese;26;P;Por;0;0;0;17;6;;
7213;Frigan;;Parma;22;A;Pc;0;0;0;16;7;;
6229;Tourè E.;;Atalanta;24;A;Pc;0;0;0;16;7;;
6908;Atta;;Udinese;22;C;C;0;0;0;16;6;;
5823;Baldanzi;;Roma;22;C;T/A;0;0;0;16;8;;
4199;Loftus-Cheek;;Milan;29;C;C/T;0;0;0;16;8;;
4904;Marì;;Fiorentina;32;D;Dc;0;0;0;16;7;;
4401;Gabbia;;Milan;26;D;Dc;0;0;0;16;6;;
4378;Ranieri L.;;Fiorentina;26;D;Ds/Dc;0;0;0;16;7;;
5455;Moreo;;Pisa;32;A;A;0;0;0;15;5;;
6984;Ondrejka;;Parma;23;C;W/A;0;0;0;15;13;;
6190;Pisilli;;Roma;21;C;C;0;0;0;15;7;;
5393;Man;*;Parma;27;C;W/A;0;0;0;15;11;;
6893;Kempf;;Como;30;D;Dc;0;0;0;15;5;;
6047;Ehizibue;;Udinese;30;D;Dd/E;0;0;0;15;5;;
4502;Gallo;;Lecce;25;D;Ds/E;0;0;0;15;5;;
787;Djimsiti;;Atalanta;32;D;Dc;0;0;0;15;8;;
6641;Suzuki;;Parma;23;P;Por;0;0;0;15;7;;
7129;Rodriguez Je.;;Como;20;A;W/A;0;0;0;14;5;;
6630;Mosquera;;Verona;26;A;Pc;0;0;0;14;6;;
4371;Raspadori;*;Napoli;25;A;A;0;0;0;14;13;;
7209;Sorensen O.;;Parma;23;C;C;0;0;0;14;6;;
6717;Konè I.;;Sassuolo;23;C;M/C;0;0;0;14;6;;
6680;Karlstrom;;Udinese;30;C;M/C;0;0;0;14;6;;
6486;Suslov;;Verona;23;C;W/T;0;0;0;14;9;;
5784;Aebischer;;Pisa;28;C;C;0;0;0;14;4;;
5688;Harroui;;Verona;27;C;W/T;0;0;0;14;7;;
5504;Coulibaly L.;;Lecce;29;C;M/C;0;0;0;14;7;;
5301;Luis Henrique;;Inter;24;C;E/W;0;0;0;14;7;;
4870;Adopo;;Cagliari;25;C;M/C;0;0;0;14;5;;
181;Vecino;;Lazio;34;C;M/C;0;0;0;14;6;;
7211;Athekame;;Milan;21;D;Dd/E;0;0;0;14;6;;
7143;Angori;;Pisa;22;D;Ds/E;0;0;0;14;5;;
6986;Rensch;;Roma;22;D;B/Dd/E;0;0;0;14;5;;
6985;Candè;;Sassuolo;27;D;Ds/Dc;0;0;0;14;6;;
6766;Kelly L.;;Juventus;27;D;Ds/Dc;0;0;0;14;7;;
6642;Coco;;Torino;26;D;Dc;0;0;0;14;8;;
2525;Darmian;;Inter;36;D;B/Dd/E;0;0;0;14;4;;
2134;Falcone;;Lecce;30;P;Por;0;0;0;14;6;;
7071;Esposito F.P.;;Inter;20;A;Pc;0;0;0;13;7;;
6836;Meister;;Pisa;22;A;Pc;0;0;0;13;2;;
6643;Dallinga;;Bologna;25;A;Pc;0;0;0;13;10;;
6409;Beltran L.;;Fiorentina;24;A;A;0;0;0;13;7;;
6815;Fadera;;Sassuolo;24;C;W;0;0;0;13;6;;
6640;Felici;;Cagliari;24;C;W;0;0;0;13;6;;
6593;Akinsanmiro;;Pisa;21;C;C/T;0;0;0;13;3;;
6219;Boloca;;Sassuolo;27;C;M/C;0;0;0;13;6;;
6020;Ellertsson;;Genoa;23;C;C/W;0;0;0;13;5;;
5735;Volpato;;Sassuolo;22;C;W/T;0;0;0;13;5;;
6887;Leoni;*;Parma;19;D;Dc;0;0;0;13;7;;
6869;Ramon;;Como;20;D;Dc;0;0;0;13;4;;
6867;Valle;;Como;21;D;Ds/E;0;0;0;13;6;;
5831;Gatti;;Juventus;27;D;Dc;0;0;0;13;8;;
